Incident_ID,ORI,Incident_Date_Str,Incident_Time_Str,City,County,State,Zip_Code,Multiple_Locations,On_K12_Campus,Arrest_Made,Crime_Report_Filed,Contact_Reason,In_Custody_Reason,Num_Involved_Civilians,Num_Involved_Officers
URSUS-37-0000-2016-CQB,CA0370000,3/27/2016,159,Vista,San Diego County,CA,92084,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,3
URSUS-37-0000-2016-CRT,CA0370000,7/20/2016,1354,Lemon Grove,San Diego County,CA,91945,FALSE,FALSE,TRUE,FALSE,Call for Service,,1,4
URSUS-37-0000-2016-ERZ,CA0370000,11/14/2016,527,Encinitas,San Diego County,CA,92024,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-37-0000-2016-FDC,CA0370000,12/3/2016,517,Rancho Santa Fe,San Diego County,CA,92067,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,4
URSUS-37-0000-2016-JZM,CA0370000,4/27/2016,1430,Vista,San Diego County,CA,92081,FALSE,FALSE,FALSE,TRUE,In Custody Event,Other,1,6
URSUS-37-0000-2016-KGP,CA0370000,8/8/2016,445,Poway,San Diego County,CA,92064,TRUE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,4
URSUS-37-0000-2016-KXG,CA0370000,8/25/2016,1245,Fallb,San Diego County,CA,92028,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-37-0000-2016-MJC,CA0370000,8/11/2016,31,Vista,San Diego County,CA,92083,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-37-0000-2016-MWT,CA0370000,1/27/2016,1200,Chula Vista,San Diego County,CA,91910,FALSE,FALSE,TRUE,FALSE,Call for Service,,1,1
URSUS-37-0000-2016-NBB,CA0370000,2/20/2016,30,San Diego,San Diego County,CA,92101,FALSE,FALSE,FALSE,TRUE,In Custody Event,Other,1,2
URSUS-37-0000-2016-NFU,CA0370000,6/13/2016,1030,San Diego,San Diego County,CA,92179,FALSE,FALSE,FALSE,TRUE,In Custody Event,Other,1,5
URSUS-37-0000-2016-NQY,CA0370000,1/12/2016,2300,Spring Valley,San Diego County,CA,91977,FALSE,FALSE,TRUE,FALSE,Call for Service,,1,1
